t,meanR,meanG,meanB,brightness,litFrac,motion
0.00,0.00,0.00,0.00,0.00,0.0000,0.00
0.12,0.03,0.20,0.49,0.19,0.0026,0.18
0.25,0.14,0.33,0.73,0.32,0.0027,0.12
0.38,0.33,0.50,1.02,0.50,0.0027,0.18
0.50,0.48,0.63,1.25,0.64,0.0030,0.14
0.62,0.70,0.81,1.58,0.84,0.0046,0.20
0.75,0.87,0.95,1.87,1.00,0.0061,0.18
0.88,0.99,1.05,2.05,1.11,0.0078,0.14
1.00,1.15,1.17,2.32,1.25,0.0094,0.16
1.12,1.29,1.29,2.54,1.38,0.0110,0.16
1.25,1.38,1.36,2.67,1.46,0.0116,0.13
1.38,1.38,1.36,2.68,1.46,0.0116,0.10
1.50,1.39,1.36,2.69,1.46,0.0115,0.12
1.62,1.38,1.36,2.68,1.46,0.0115,0.10
1.75,1.38,1.35,2.67,1.45,0.0114,0.09
1.88,1.38,1.35,2.67,1.45,0.0115,0.10
2.00,1.38,1.35,2.67,1.45,0.0114,0.09
2.12,1.37,1.34,2.65,1.44,0.0113,0.09
2.25,1.36,1.33,2.65,1.43,0.0112,0.11
2.38,1.36,1.33,2.62,1.43,0.0111,0.08
2.50,1.35,1.33,2.62,1.43,0.0112,0.11
2.62,1.35,1.33,2.61,1.43,0.0109,0.10
2.75,1.34,1.32,2.62,1.42,0.0111,0.10
2.88,1.35,1.33,2.63,1.43,0.0111,0.09
3.00,1.32,1.32,2.59,1.41,0.0110,0.11
3.12,1.32,1.31,2.60,1.41,0.0111,0.11
3.25,1.32,1.30,2.60,1.40,0.0109,0.08
3.38,1.32,1.30,2.58,1.40,0.0109,0.09
3.50,1.32,1.30,2.57,1.39,0.0106,0.08
3.62,1.32,1.29,2.56,1.39,0.0105,0.12
3.75,1.32,1.30,2.57,1.40,0.0106,0.10
3.88,1.33,1.30,2.57,1.40,0.0109,0.09
4.00,1.33,1.30,2.54,1.40,0.0107,0.09
4.12,1.31,1.28,2.50,1.37,0.0101,0.09
4.25,1.33,1.29,2.53,1.38,0.0106,0.11
4.38,1.32,1.30,2.53,1.39,0.0105,0.12
4.50,1.30,1.30,2.56,1.39,0.0107,0.09
4.62,1.31,1.30,2.58,1.40,0.0109,0.08
4.75,1.30,1.30,2.54,1.39,0.0107,0.08
4.88,1.30,1.30,2.57,1.39,0.0106,0.10
5.00,1.28,1.29,2.54,1.38,0.0105,0.09
5.12,1.29,1.28,2.51,1.37,0.0104,0.11
5.25,1.32,1.28,2.45,1.37,0.0104,0.11
